iter	RMSE
0	834.7051655
1	819.3788074
2	806.9412086
3	796.0003376
4	787.1899768
5	779.5059383
6	772.871639
7	764.4178381
8	757.3140411
9	749.9344677
10	743.6831539
11	738.2964879
12	733.8090293
13	729.5152293
14	725.6834719
15	722.9619709
16	720.0277037
17	717.9044486
18	715.7539685
19	713.8288624
20	712.3087554
21	710.7030125
22	709.1103598
23	707.7874005
24	706.6675461
25	705.7673461
26	704.9522877
27	703.5284697
28	702.6808762
29	701.5952156
30	700.6499953
31	700.0317453
32	699.26487
33	698.7346311
34	697.8006605
35	696.9178197
36	696.3905528
37	695.7717664
38	695.1133095
39	694.6733806
40	694.3410445
41	694.0246074
42	693.5091267
43	693.2480717
44	692.858022
45	692.5123793
46	692.0282577
47	691.7583249
48	691.4273268
49	691.2307106
50	690.8427401
51	690.6602633
52	690.0872953
53	689.8119365
54	689.3998836
55	689.1637499
56	688.8128205
57	688.0929214
58	687.9619281
59	687.8122394
60	687.6546324
61	687.365953
62	687.0386623
63	686.8659969
64	686.506842
65	686.0240723
66	685.8031194
67	685.6183744
68	685.4613598
69	685.3602778
70	685.0279666
71	684.6658215
72	684.4154268
73	684.0682469
74	683.9103953
75	683.8137565
76	683.7389808
77	683.367982
78	683.1907645
79	682.8771673
80	682.7347937
81	682.5161287
82	682.3500636
83	682.2766925
84	682.224585
85	682.1477696
86	682.0270766
87	681.8830321
88	681.549328
89	681.5456444
90	681.4430307
91	681.3122483
92	681.142637
93	681.086086
94	680.9483882
95	680.9009107
96	680.7780497
97	680.6305368
98	680.5798291
99	680.4835789
100	680.3140542
101	680.2102932
102	680.1187279
103	679.9619238
104	679.91048
105	679.6891522
106	679.6238568
107	679.4941256
108	679.4933345
109	679.3388424
110	679.2417602
111	679.048518
112	678.9699434
113	678.9176776
114	678.7990525
115	678.744299
116	678.6971083
117	678.5733335
118	678.4330061
119	678.3621463
120	678.2415299
121	677.9711401
122	677.8210147
123	677.7744122
124	677.723045
125	677.5858626
126	677.4831196
127	677.4311525
128	677.3582894
129	677.2351505
130	677.1623585
131	677.0811233
132	677.0073304
133	676.8916348
134	676.7988246
135	676.7217615
136	676.4821203
137	676.4065394
138	676.3777049
139	676.3285317
140	676.1706092
141	675.9789994
142	675.8693307
143	675.7590786
144	675.5748435
145	675.5461493
146	675.4461175
147	675.4060561
148	675.3457629
149	675.3371373
150	675.2627367
151	675.1276141
152	675.0305607
153	674.9715098
154	674.9518878
155	674.9472328
156	674.8789356
157	674.8105424
158	674.7092626
159	674.6240676
160	674.5956728
161	674.5901187
162	674.5285307
163	674.47578
164	674.4360753
165	674.3556914
166	674.2923861
167	674.2557668
168	674.2256373
169	674.0606419
170	673.9778896
171	673.8455022
172	673.7833806
173	673.7479315
174	673.60745
175	673.5599843
176	673.507266
177	673.4042791
178	673.3492802
179	673.3106625
180	673.2659166
181	673.2273604
182	673.2249432
183	673.1570594
184	673.1550791
185	673.1332502
186	673.1186509
187	673.111947
188	673.010721
189	673.0001281
190	672.9364783
191	672.8700201
192	672.743236
193	672.6371133
194	672.5770924
195	672.5585516
196	672.5371514
197	672.5280207
198	672.3838109
199	672.2881983
200	672.28736
201	672.1930066
202	672.1744535
203	672.173671
204	672.1713055
205	672.1238869
206	672.0605192
207	672.0277146
208	671.8291547
209	671.8059945
210	671.7687229
211	671.7679962
212	671.6528996
213	671.5323208
214	671.4801587
215	671.3885622
216	671.2938339
217	671.2735074
218	671.2458626
219	671.213028
220	671.1860673
221	671.175913
222	671.1342309
223	671.0492662
224	671.0283024
225	670.9959159
226	670.941271
227	670.8481259
228	670.7892103
229	670.7686054
230	670.7617332
231	670.6891728
232	670.671678
233	670.5738646
234	670.5005932
235	670.4988275
236	670.4890795
237	670.4885998
238	670.4758438
239	670.397762
240	670.3660839
241	670.3029803
242	670.2229338
243	670.1896949
244	670.081427
245	669.9276046
246	669.8687659
247	669.8523574
248	669.8211406
249	669.7924482
250	669.7750937
251	669.7491754
252	669.7164218
253	669.7102
254	669.6113087
255	669.5332454
256	669.5316542
257	669.4640437
258	669.2748985
259	669.1212976
260	669.1102625
261	669.0873016
262	669.011205
263	668.9194909
264	668.8919362
265	668.8772308
266	668.8536346
267	668.7474265
268	668.7090055
269	668.6936207
270	668.6687434
271	668.6414781
272	668.6395551
273	668.5059794
274	668.4995327
275	668.482571
276	668.4710671
277	668.4342061
278	668.3869971
279	668.3798289
280	668.372186
281	668.3181643
282	668.2645374
283	668.2483065
284	668.1654904
285	668.1577204
286	668.0728245
287	668.0691792
288	668.0351126
289	668.008649
290	667.9228825
291	667.854601
292	667.8410394
293	667.8150124
294	667.7993871
295	667.7893808
296	667.7832698
297	667.6934106
298	667.653307
299	667.5973538
300	667.5479039
301	667.5108531
302	667.4427709
303	667.4197176
304	667.3297494
305	667.2961336
306	667.2586137
307	667.2378193
308	667.2368518
309	667.1864356
310	667.1295228
311	667.1123022
312	667.0882064
313	667.0444143
314	667.0142996
315	666.9508544
316	666.9463514
317	666.8927266
318	666.857393
319	666.8402355
320	666.8370309
321	666.8222235
322	666.7651747
323	666.7564573
324	666.7335928
325	666.7160984
326	666.6979564
327	666.6816481
328	666.6676032
329	666.6521385
330	666.6152477
331	666.5970577
332	666.5784369
333	666.518217
334	666.4990254
335	666.4622722
336	666.4425047
337	666.3895612
338	666.2969775
339	666.2575107
340	666.2425615
341	666.2183191
342	666.1613277
343	666.1290371
344	666.1096947
345	666.0553585
346	666.0511475
347	666.0050282
348	666.0037758
349	665.9979262
350	665.9865263
351	665.9497045
352	665.9396747
353	665.9331051
354	665.8973896
355	665.8757408
356	665.8594646
357	665.8577052
358	665.8564614
359	665.8355546
360	665.827759
361	665.7658065
362	665.7228343
363	665.7016167
364	665.6018949
365	665.5744855
366	665.5681842
367	665.5558222
368	665.5541178
369	665.5325621
370	665.4693677
371	665.4563334
372	665.4358268
373	665.428792
374	665.4271473
375	665.4256074
376	665.4237626
377	665.423046
378	665.4155361
379	665.3965212
380	665.32881
381	665.3278425
382	665.3218899
383	665.3081789
384	665.2919991
385	665.2882733
386	665.2874774
387	665.1849437
388	665.1831573
389	665.1817267
390	665.1802246
391	665.1751278
392	665.1596619
393	665.0911715
394	664.9927366
395	664.9643335
396	664.9303081
397	664.9116839
398	664.9099217
399	664.7659519
400	664.7583819
401	664.6964824
402	664.6830851
403	664.5938155
404	664.5530836
405	664.517127
406	664.4717463
407	664.4000448
408	664.3349875
409	664.3203254
410	664.2915748
411	664.2439977
412	664.2434028
413	664.2291466
414	664.2051942
415	664.1985867
416	664.1660229
417	664.1543176
418	664.1414683
419	664.1232962
420	664.1127831
421	664.1125335
422	664.10174
423	664.0764518
424	664.0607789
425	664.0482117
426	664.0358028
427	663.9395907
428	663.8697485
429	663.83741
430	663.7105051
431	663.7087986
432	663.6803076
433	663.6371617
434	663.6261365
435	663.5837795
436	663.5807612
437	663.561724
438	663.5315485
439	663.4016716
440	663.3917609
441	663.2516684
442	663.2158678
443	663.205766
444	663.1896353
445	663.1307717
446	663.1243477
447	663.0809862
448	663.0565662
449	663.0321774
450	662.9384692
451	662.8877895
452	662.8855153
453	662.8816235
454	662.8697289
455	662.8683855
456	662.846678
457	662.8451392
458	662.8341949
459	662.8303213
460	662.790134
461	662.7488423
462	662.7047501
463	662.6586619
464	662.6517304
465	662.5820371
466	662.5197896
467	662.5185002
468	662.5141717
469	662.5137948
470	662.4739209
471	662.4015704
472	662.3897251
473	662.3839884
474	662.359924
475	662.3575335
476	662.3095335
477	662.2842256
478	662.2834353
479	662.2827908
480	662.2802024
481	662.2734936
482	662.2485486
483	662.1988528
484	662.1980756
485	662.1532026
486	662.0892123
487	662.0761279
488	662.0734346
489	662.0600125
490	662.0217058
491	662.0067403
492	661.9788368
493	661.8813466
494	661.8752309
495	661.8559826
496	661.8547569
497	661.8055566
498	661.7012277
499	661.6994966
500	661.6667544
501	661.6591107
502	661.6575236
503	661.6391083
504	661.623524
505	661.6175326
506	661.5847735
507	661.5709129
508	661.5154569
509	661.4389872
510	661.3894011
511	661.3335284
512	661.3198072
513	661.3195072
514	661.3064184
515	661.2524179
516	661.2514501
517	661.2502967
518	661.2483338
519	661.2370507
520	661.231136
521	661.2198225
522	661.1976155
523	661.1573751
524	661.1539155
525	661.148971
526	661.0874996
527	661.0766013
528	661.0500864
529	661.0015925
530	660.9995785
531	660.9471197
532	660.8717793
533	660.8073252
534	660.8062444
535	660.7819191
536	660.7679411
537	660.7660954
538	660.7576406
539	660.7294078
540	660.6973033
541	660.6873011
542	660.5785366
543	660.4787857
544	660.4482462
545	660.4159382
546	660.4126191
547	660.4015505
548	660.3628658
549	660.338712
550	660.3349152
551	660.2978894
552	660.2936079
553	660.2605977
554	660.2597358
555	660.1951755
556	660.1481866
557	660.1479065
558	660.0923341
559	660.0398193
560	660.0330919
561	660.0124047
562	659.9508309
563	659.9347768
564	659.895107
565	659.8902922
566	659.8786978
567	659.8416553
568	659.8317173
569	659.8291189
570	659.8213161
571	659.8132011
572	659.7880714
573	659.7864571
574	659.7180299
575	659.7008073
576	659.6862978
577	659.6392568
578	659.6319026
579	659.6056864
580	659.5743569
581	659.5726502
582	659.5708521
583	659.5558008
584	659.5486122
585	659.4948067
586	659.4504868
587	659.4490998
588	659.4363563
589	659.4346954
590	659.4307337
591	659.4099885
592	659.397751
593	659.3773263
594	659.374857
595	659.37163
596	659.3609664
597	659.3313511
598	659.3298433
599	659.3076118
600	659.2940461
601	659.2559037
602	659.2519317
603	659.248644
604	659.1912655
605	659.1845995
606	659.1643796
607	659.1558161
608	659.1093979
609	659.0968279
610	659.0632372
611	659.0523443
612	659.0428577
613	659.0320649
614	659.0080681
615	658.9556573
616	658.917852
617	658.9009942
618	658.8637145
619	658.8543073
620	658.7833064
621	658.7574273
622	658.7430289
623	658.7165575
624	658.6965475
625	658.6850654
626	658.6039033
627	658.5598128
628	658.5150631
629	658.5068524
630	658.5063263
631	658.505053
632	658.5038632
633	658.5028654
634	658.4949175
635	658.4440864
636	658.4436543
637	658.3678114
638	658.3668268
639	658.3433974
640	658.3362795
641	658.3352699
