iter	Passed	Remaining
0	124	123934
1	178	88995
2	233	77603
3	272	67951
4	312	62162
5	351	58173
6	389	55294
7	462	57288
8	523	57648
9	563	55785
10	602	54180
11	643	52997
12	684	52004
13	748	52744
14	789	51819
15	831	51152
16	874	50537
17	915	49948
18	960	49616
19	1006	49295
20	1052	49067
21	1098	48845
22	1153	49013
23	1198	48757
24	1245	48586
25	1283	48095
26	1321	47631
27	1365	47402
28	1403	46996
29	1443	46689
30	1482	46335
31	1520	46005
32	1558	45665
33	1600	45461
34	1639	45209
35	1692	45313
36	1736	45203
37	1777	44993
38	1815	44743
39	1853	44495
40	1891	44250
41	1931	44048
42	1973	43928
43	2010	43680
44	2051	43544
45	2091	43370
46	2128	43158
47	2164	42931
48	2202	42742
49	2241	42597
50	2280	42426
51	2317	42244
52	2355	42083
53	2392	41916
54	2433	41804
55	2472	41675
56	2510	41537
57	2548	41387
58	2585	41240
59	2626	41142
60	2664	41017
61	2703	40902
62	2743	40810
63	2783	40707
64	2823	40621
65	2863	40526
66	2902	40413
67	2942	40332
68	2982	40242
69	3023	40175
70	3063	40089
71	3110	40096
72	3150	40008
73	3196	39995
74	3232	39870
75	3270	39761
76	3308	39658
77	3348	39585
78	3389	39511
79	3426	39408
80	3468	39348
81	3506	39251
82	3545	39173
83	3584	39091
84	3627	39045
85	3663	38931
86	3701	38847
87	3743	38798
88	3780	38698
89	3818	38610
90	3857	38534
91	3895	38448
92	3935	38385
93	3974	38310
94	4012	38226
95	4049	38136
96	4092	38102
97	4137	38079
98	4179	38041
99	4220	37987
100	4262	37941
101	4303	37886
102	4340	37802
103	4377	37714
104	4416	37647
105	4455	37574
106	4493	37502
107	4530	37421
108	4552	37209
109	4589	37130
110	4627	37058
111	4669	37023
112	4715	37015
113	4759	36987
114	4795	36904
115	4832	36823
116	4868	36744
117	4907	36683
118	4946	36618
119	4989	36592
120	5033	36563
121	5072	36503
122	5109	36429
123	5146	36356
124	5183	36285
125	5220	36210
126	5258	36145
127	5295	36073
128	5333	36008
129	5370	35940
130	5408	35876
131	5446	35813
132	5485	35756
133	5524	35700
134	5561	35636
135	5598	35566
136	5636	35504
137	5673	35438
138	5711	35377
139	5751	35331
140	5789	35268
141	5826	35203
142	5864	35144
143	5903	35090
144	5941	35034
145	5978	34972
146	6021	34939
147	6057	34872
148	6099	34836
149	6139	34792
150	6177	34731
151	6214	34672
152	6252	34611
153	6289	34550
154	6327	34493
155	6365	34438
156	6403	34380
157	6440	34319
158	6477	34261
159	6514	34200
160	6557	34172
161	6600	34141
162	6643	34113
163	6687	34091
164	6733	34076
165	6776	34047
166	6822	34031
167	6865	34000
168	6906	33961
169	6951	33937
170	6992	33897
171	7029	33839
172	7066	33781
173	7115	33776
174	7165	33781
175	7218	33794
176	7282	33860
177	7342	33906
178	7403	33956
179	7465	34010
180	7523	34042
181	7567	34010
182	7603	33945
183	7640	33884
184	7679	33832
185	7719	33785
186	7758	33730
187	7803	33706
188	7847	33674
189	7890	33638
190	7944	33648
191	7996	33652
192	8054	33678
193	8105	33677
194	8155	33666
195	8196	33624
196	8234	33565
197	8270	33501
198	8308	33444
199	8348	33395
200	8385	33334
201	8427	33292
202	8471	33259
203	8510	33207
204	8551	33161
205	8593	33120
206	8635	33082
207	8682	33060
208	8728	33033
209	8769	32991
210	8812	32951
211	8856	32920
212	8914	32936
213	8961	32913
214	9007	32888
215	9056	32871
216	9101	32841
217	9146	32811
218	9198	32804
219	9246	32782
220	9295	32765
221	9350	32770
222	9397	32742
223	9441	32708
224	9484	32667
225	9526	32625
226	9569	32585
227	9611	32545
228	9659	32520
229	9700	32473
230	9741	32428
231	9783	32385
232	9824	32340
233	9871	32315
234	9915	32276
235	9951	32215
236	9988	32155
237	10022	32090
238	10071	32069
239	10117	32039
240	10164	32012
241	10215	31996
242	10269	31993
243	10313	31955
244	10351	31899
245	10390	31847
246	10429	31794
247	10465	31733
248	10505	31684
249	10543	31630
250	10592	31608
251	10639	31579
252	10679	31532
253	10718	31479
254	10755	31421
255	10791	31362
256	10827	31302
257	10864	31245
258	10902	31191
259	10940	31138
260	10977	31081
261	11014	31024
262	11050	30967
263	11088	30913
264	11130	30870
265	11172	30830
266	11212	30782
267	11249	30725
268	11285	30669
269	11321	30609
270	11356	30549
271	11393	30494
272	11433	30446
273	11472	30397
274	11508	30340
275	11548	30293
276	11586	30242
277	11623	30188
278	11665	30147
279	11710	30112
280	11748	30061
281	11785	30007
282	11827	29965
283	11866	29917
284	11909	29877
285	11962	29865
286	12006	29827
287	12045	29778
288	12089	29742
289	12151	29750
290	12212	29755
291	12269	29749
292	12325	29740
293	12382	29734
294	12428	29701
295	12468	29654
296	12505	29600
297	12543	29549
298	12581	29497
299	12622	29452
300	12663	29408
301	12703	29360
302	12741	29310
303	12779	29259
304	12832	29241
305	12889	29232
306	12945	29221
307	13000	29209
308	13055	29194
309	13114	29191
310	13161	29157
311	13200	29108
312	13237	29055
313	13276	29004
314	13315	28955
315	13357	28914
316	13403	28879
317	13447	28840
318	13489	28796
319	13526	28744
320	13564	28692
321	13600	28637
322	13638	28586
323	13676	28535
324	13718	28492
325	13765	28460
326	13811	28425
327	13849	28375
328	13887	28324
329	13924	28271
330	13960	28217
331	13997	28163
332	14036	28115
333	14073	28062
334	14109	28008
335	14146	27957
336	14183	27904
337	14221	27853
338	14258	27801
339	14295	27749
340	14332	27698
341	14369	27646
342	14414	27609
343	14456	27567
344	14498	27525
345	14539	27482
346	14575	27429
347	14613	27378
348	14650	27328
349	14686	27274
350	14724	27224
351	14760	27173
352	14797	27121
353	14834	27070
354	14870	27018
355	14911	26974
356	14957	26940
357	14998	26896
358	15033	26842
359	15070	26791
360	15106	26738
361	15144	26690
362	15180	26639
363	15216	26586
364	15252	26536
365	15289	26484
366	15325	26432
367	15361	26381
368	15396	26328
369	15441	26291
370	15483	26250
371	15523	26206
372	15567	26168
373	15603	26116
374	15640	26066
375	15674	26013
376	15711	25963
