Year,Month,n-2,n-1,n,y
2015.0,11.0,50.0,50.0,50.0,50.0
2015.0,12.0,50.0,50.0,50.0,50.0
2016.0,1.0,50.0,50.0,50.0,50.0
2017.0,7.0,50.0,50.0,50.0,50.0
2017.0,8.0,50.0,50.0,50.0,50.0
2017.0,9.0,50.0,50.0,50.0,50.0
2018.0,6.0,10.0,16.0,16.0,28.0
2018.0,7.0,16.0,16.0,28.0,28.0
2018.0,8.0,16.0,28.0,28.0,28.0
2018.0,9.0,28.0,28.0,28.0,18.0
2016.0,11.0,706.0,792.0,792.0,792.0
2016.0,12.0,792.0,792.0,792.0,792.0
2017.0,1.0,792.0,792.0,792.0,792.0
2017.0,2.0,792.0,792.0,792.0,86.0
2017.0,10.0,300.0,300.0,300.0,300.0
2017.0,11.0,300.0,300.0,300.0,300.0
2017.0,12.0,300.0,300.0,300.0,300.0
2018.0,1.0,300.0,300.0,300.0,300.0
2018.0,2.0,300.0,300.0,300.0,300.0
2018.0,3.0,300.0,300.0,300.0,300.0
2018.0,4.0,300.0,300.0,300.0,300.0
2018.0,5.0,300.0,300.0,300.0,300.0
2018.0,6.0,300.0,300.0,300.0,300.0
2019.0,1.0,800.0,300.0,500.0,200.0
2019.0,2.0,300.0,500.0,200.0,200.0
2019.0,3.0,500.0,200.0,200.0,200.0
2015.0,9.0,602.0,102.0,902.0,800.0
2015.0,10.0,102.0,902.0,800.0,800.0
2015.0,11.0,902.0,800.0,800.0,800.0
2015.0,12.0,800.0,800.0,800.0,800.0
2016.0,5.0,400.0,602.0,662.0,662.0
2016.0,10.0,950.0,750.0,548.0,488.0
2016.0,11.0,750.0,548.0,488.0,488.0
2017.0,5.0,700.0,700.0,700.0,700.0
2017.0,6.0,700.0,700.0,700.0,900.0
2017.0,7.0,700.0,700.0,900.0,900.0
2017.0,8.0,700.0,900.0,900.0,200.0
2017.0,9.0,900.0,900.0,200.0,956.0
2017.0,11.0,500.0,500.0,500.0,500.0
2017.0,12.0,500.0,500.0,500.0,500.0
2018.0,1.0,500.0,500.0,500.0,500.0
2018.0,2.0,500.0,500.0,500.0,502.0
2015.0,10.0,710.0,510.0,730.0,800.0
2015.0,11.0,510.0,730.0,800.0,700.0
2015.0,12.0,730.0,800.0,700.0,750.0
2016.0,1.0,800.0,700.0,750.0,952.0
2016.0,2.0,700.0,750.0,952.0,852.0
2016.0,3.0,750.0,952.0,852.0,630.0
2016.0,4.0,952.0,852.0,630.0,420.0
2016.0,5.0,852.0,630.0,420.0,520.0
2016.0,6.0,630.0,420.0,520.0,370.0
2016.0,7.0,420.0,520.0,370.0,210.0
2016.0,8.0,520.0,370.0,210.0,210.0
2016.0,9.0,370.0,210.0,210.0,210.0
2016.0,10.0,210.0,210.0,210.0,150.0
2016.0,11.0,210.0,210.0,150.0,50.0
2016.0,12.0,210.0,150.0,50.0,50.0
2017.0,1.0,150.0,50.0,50.0,6.0
2017.0,2.0,50.0,50.0,6.0,6.0
2017.0,3.0,50.0,6.0,6.0,208.0
2017.0,4.0,6.0,6.0,208.0,210.0
2017.0,5.0,6.0,208.0,210.0,210.0
2017.0,6.0,208.0,210.0,210.0,210.0
2017.0,7.0,210.0,210.0,210.0,204.0
2017.0,8.0,210.0,210.0,204.0,304.0
2017.0,9.0,210.0,204.0,304.0,202.0
2017.0,10.0,204.0,304.0,202.0,208.0
2017.0,11.0,304.0,202.0,208.0,658.0
2017.0,12.0,202.0,208.0,658.0,662.0
2018.0,1.0,208.0,658.0,662.0,662.0
2018.0,2.0,658.0,662.0,662.0,562.0
2018.0,3.0,662.0,662.0,562.0,470.0
2018.0,4.0,662.0,562.0,470.0,488.0
2018.0,5.0,562.0,470.0,488.0,200.0
2018.0,6.0,470.0,488.0,200.0,318.0
2018.0,7.0,488.0,200.0,318.0,318.0
2018.0,8.0,200.0,318.0,318.0,506.0
2018.0,9.0,318.0,318.0,506.0,596.0
2018.0,10.0,318.0,506.0,596.0,900.0
2018.0,11.0,506.0,596.0,900.0,900.0
2017.0,5.0,100.0,100.0,100.0,200.0
2017.0,6.0,100.0,100.0,200.0,200.0
2017.0,7.0,100.0,200.0,200.0,200.0
2017.0,8.0,200.0,200.0,200.0,100.0
2017.0,9.0,200.0,200.0,100.0,100.0
2017.0,10.0,200.0,100.0,100.0,100.0
2019.0,1.0,600.0,600.0,600.0,600.0
2019.0,2.0,600.0,600.0,600.0,600.0
2019.0,3.0,600.0,600.0,600.0,600.0
2017.0,6.0,2.0,2.0,2.0,2.0
2017.0,7.0,2.0,2.0,2.0,2.0
2017.0,8.0,2.0,2.0,2.0,2.0
2018.0,8.0,2.0,4.0,4.0,4.0
2018.0,9.0,4.0,4.0,4.0,4.0
2017.0,9.0,66.0,66.0,66.0,66.0
2017.0,10.0,66.0,66.0,66.0,66.0
2017.0,11.0,66.0,66.0,66.0,66.0
2017.0,9.0,100.0,100.0,100.0,100.0
2017.0,10.0,100.0,100.0,100.0,100.0
2017.0,11.0,100.0,100.0,100.0,100.0
2018.0,9.0,102.0,102.0,102.0,102.0
2017.0,6.0,50.0,50.0,50.0,50.0
2017.0,7.0,50.0,50.0,50.0,50.0
2017.0,8.0,50.0,50.0,50.0,50.0
2017.0,2.0,606.0,600.0,600.0,600.0
2017.0,3.0,600.0,600.0,600.0,600.0
2017.0,10.0,300.0,300.0,300.0,300.0
2017.0,11.0,300.0,300.0,300.0,300.0
2017.0,12.0,300.0,300.0,300.0,300.0
2018.0,1.0,300.0,300.0,300.0,302.0
2016.0,5.0,500.0,500.0,500.0,500.0
2016.0,6.0,500.0,500.0,500.0,500.0
2016.0,7.0,500.0,500.0,500.0,500.0
2017.0,1.0,50.0,50.0,50.0,50.0
2017.0,2.0,50.0,50.0,50.0,50.0
2017.0,3.0,50.0,50.0,50.0,300.0
2017.0,4.0,50.0,50.0,300.0,250.0
2017.0,5.0,50.0,300.0,250.0,250.0
2017.0,6.0,300.0,250.0,250.0,500.0
2017.0,7.0,250.0,250.0,500.0,500.0
2017.0,8.0,250.0,500.0,500.0,500.0
2017.0,9.0,500.0,500.0,500.0,250.0
2017.0,10.0,500.0,500.0,250.0,250.0
2017.0,11.0,500.0,250.0,250.0,250.0
2017.0,12.0,250.0,250.0,250.0,202.0
2018.0,1.0,250.0,250.0,202.0,202.0
2018.0,2.0,250.0,202.0,202.0,202.0
2018.0,3.0,202.0,202.0,202.0,202.0
2018.0,4.0,202.0,202.0,202.0,202.0
2018.0,5.0,202.0,202.0,202.0,202.0
2018.0,6.0,202.0,202.0,202.0,300.0
2018.0,7.0,202.0,202.0,300.0,300.0
2018.0,8.0,202.0,300.0,300.0,300.0
2018.0,9.0,300.0,300.0,300.0,300.0
2018.0,10.0,300.0,300.0,300.0,380.0
2018.0,11.0,300.0,300.0,380.0,490.0
2018.0,12.0,300.0,380.0,490.0,580.0
2019.0,1.0,380.0,490.0,580.0,496.0
2019.0,2.0,490.0,580.0,496.0,496.0
2019.0,3.0,580.0,496.0,496.0,396.0
2015.0,9.0,280.0,280.0,280.0,280.0
2015.0,10.0,280.0,280.0,280.0,550.0
2015.0,11.0,280.0,280.0,550.0,270.0
2015.0,12.0,280.0,550.0,270.0,530.0
2016.0,1.0,550.0,270.0,530.0,530.0
2016.0,2.0,270.0,530.0,530.0,530.0
2016.0,3.0,530.0,530.0,530.0,530.0
2016.0,4.0,530.0,530.0,530.0,260.0
2016.0,5.0,530.0,530.0,260.0,340.0
2016.0,6.0,530.0,260.0,340.0,80.0
2016.0,7.0,260.0,340.0,80.0,80.0
2016.0,8.0,340.0,80.0,80.0,80.0
2016.0,9.0,80.0,80.0,80.0,220.0
2016.0,10.0,80.0,80.0,220.0,220.0
2016.0,11.0,80.0,220.0,220.0,460.0
2016.0,12.0,220.0,220.0,460.0,460.0
2017.0,1.0,220.0,460.0,460.0,460.0
2017.0,2.0,460.0,460.0,460.0,460.0
2017.0,3.0,460.0,460.0,460.0,500.0
2017.0,4.0,460.0,460.0,500.0,500.0
2017.0,5.0,460.0,500.0,500.0,180.0
2017.0,6.0,500.0,500.0,180.0,614.0
2017.0,7.0,500.0,180.0,614.0,614.0
2017.0,8.0,180.0,614.0,614.0,614.0
2017.0,9.0,614.0,614.0,614.0,434.0
2017.0,10.0,614.0,614.0,434.0,434.0
2018.0,3.0,684.0,684.0,724.0,724.0
2018.0,4.0,684.0,724.0,724.0,724.0
2018.0,5.0,724.0,724.0,724.0,40.0
2018.0,6.0,724.0,724.0,40.0,40.0
2018.0,7.0,724.0,40.0,40.0,40.0
2019.0,1.0,190.0,124.0,124.0,56.0
2019.0,2.0,124.0,124.0,56.0,56.0
2019.0,3.0,124.0,56.0,56.0,794.0
2015.0,9.0,256.0,256.0,256.0,256.0
2015.0,10.0,256.0,256.0,256.0,256.0
2015.0,11.0,256.0,256.0,256.0,316.0
2015.0,12.0,256.0,256.0,316.0,200.0
2016.0,1.0,256.0,316.0,200.0,200.0
2016.0,2.0,316.0,200.0,200.0,200.0
2016.0,3.0,200.0,200.0,200.0,200.0
2016.0,4.0,200.0,200.0,200.0,200.0
2016.0,5.0,200.0,200.0,200.0,140.0
2016.0,12.0,250.0,250.0,250.0,250.0
2017.0,1.0,250.0,250.0,250.0,400.0
2017.0,2.0,250.0,250.0,400.0,400.0
2017.0,3.0,250.0,400.0,400.0,450.0
2017.0,4.0,400.0,400.0,450.0,450.0
2017.0,5.0,400.0,450.0,450.0,450.0
2017.0,6.0,450.0,450.0,450.0,450.0
2017.0,7.0,450.0,450.0,450.0,300.0
2017.0,8.0,450.0,450.0,300.0,300.0
2015.0,10.0,806.0,806.0,806.0,806.0
2015.0,11.0,806.0,806.0,806.0,806.0
2015.0,12.0,806.0,806.0,806.0,806.0
2016.0,7.0,850.0,850.0,850.0,850.0
2017.0,5.0,940.0,940.0,940.0,940.0
2016.0,6.0,172.0,172.0,172.0,172.0
2016.0,7.0,172.0,172.0,172.0,172.0
2016.0,8.0,172.0,172.0,172.0,322.0
2016.0,9.0,172.0,172.0,322.0,150.0
2016.0,10.0,172.0,322.0,150.0,150.0
2016.0,11.0,322.0,150.0,150.0,150.0
2016.0,12.0,150.0,150.0,150.0,402.0
2017.0,1.0,150.0,150.0,402.0,402.0
2017.0,2.0,150.0,402.0,402.0,252.0
2017.0,3.0,402.0,402.0,252.0,252.0
2017.0,4.0,402.0,252.0,252.0,252.0
2017.0,5.0,252.0,252.0,252.0,252.0
2018.0,3.0,396.0,396.0,464.0,464.0
2018.0,4.0,396.0,464.0,464.0,464.0
2018.0,5.0,464.0,464.0,464.0,464.0
2018.0,6.0,464.0,464.0,464.0,68.0
2018.0,7.0,464.0,464.0,68.0,428.0
2015.0,6.0,12.0,12.0,12.0,32.0
