category,Year,Month,n-3,n-2,n-1,y
14.0,2015.0,4.0,90.0,1678.0,1488.0,1372.0
14.0,2015.0,5.0,1678.0,1488.0,1372.0,1280.0
14.0,2015.0,6.0,1488.0,1372.0,1280.0,1280.0
14.0,2015.0,7.0,1372.0,1280.0,1280.0,426.0
14.0,2015.0,8.0,1280.0,1280.0,426.0,420.0
14.0,2015.0,9.0,1280.0,426.0,420.0,554.0
14.0,2015.0,10.0,426.0,420.0,554.0,554.0
14.0,2015.0,11.0,420.0,554.0,554.0,556.0
14.0,2015.0,12.0,554.0,554.0,556.0,676.0
14.0,2016.0,1.0,554.0,556.0,676.0,356.0
14.0,2016.0,2.0,556.0,676.0,356.0,356.0
14.0,2016.0,3.0,676.0,356.0,356.0,122.0
14.0,2016.0,4.0,356.0,356.0,122.0,294.0
14.0,2016.0,5.0,356.0,122.0,294.0,354.0
14.0,2016.0,6.0,122.0,294.0,354.0,858.0
14.0,2016.0,7.0,294.0,354.0,858.0,858.0
14.0,2016.0,8.0,354.0,858.0,858.0,866.0
14.0,2016.0,9.0,858.0,858.0,866.0,1196.0
14.0,2016.0,10.0,858.0,866.0,1196.0,1212.0
14.0,2016.0,11.0,866.0,1196.0,1212.0,1284.0
14.0,2016.0,12.0,1196.0,1212.0,1284.0,1010.0
14.0,2017.0,1.0,1212.0,1284.0,1010.0,1370.0
14.0,2017.0,2.0,1284.0,1010.0,1370.0,1862.0
14.0,2017.0,11.0,1988.0,1740.0,1706.0,1746.0
14.0,2017.0,12.0,1740.0,1706.0,1746.0,1024.0
14.0,2018.0,1.0,1706.0,1746.0,1024.0,1272.0
14.0,2018.0,2.0,1746.0,1024.0,1272.0,1356.0
14.0,2018.0,3.0,1024.0,1272.0,1356.0,954.0
14.0,2018.0,4.0,1272.0,1356.0,954.0,1056.0
14.0,2018.0,5.0,1356.0,954.0,1056.0,812.0
14.0,2018.0,6.0,954.0,1056.0,812.0,686.0
14.0,2018.0,7.0,1056.0,812.0,686.0,450.0
14.0,2018.0,8.0,812.0,686.0,450.0,808.0
14.0,2018.0,9.0,686.0,450.0,808.0,1008.0
14.0,2018.0,10.0,450.0,808.0,1008.0,854.0
14.0,2018.0,11.0,808.0,1008.0,854.0,160.0
14.0,2018.0,12.0,1008.0,854.0,160.0,250.0
14.0,2019.0,1.0,854.0,160.0,250.0,250.0
14.0,2019.0,2.0,160.0,250.0,250.0,116.0
14.0,2019.0,3.0,250.0,250.0,116.0,116.0
14.0,2019.0,4.0,250.0,116.0,116.0,90.0
1001.0,2015.0,12.0,50.0,50.0,50.0,50.0
1001.0,2016.0,1.0,50.0,50.0,50.0,50.0
1001.0,2016.0,2.0,50.0,50.0,50.0,50.0
1001.0,2017.0,8.0,50.0,50.0,50.0,50.0
1001.0,2017.0,9.0,50.0,50.0,50.0,50.0
1001.0,2017.0,10.0,50.0,50.0,50.0,50.0
1001.0,2018.0,7.0,10.0,16.0,16.0,28.0
1001.0,2018.0,8.0,16.0,16.0,28.0,28.0
1001.0,2018.0,9.0,16.0,28.0,28.0,28.0
1001.0,2018.0,10.0,28.0,28.0,28.0,18.0
1001.0,2018.0,11.0,28.0,28.0,18.0,1000.0
1550.0,2017.0,10.0,700.0,700.0,700.0,1500.0
1550.0,2017.0,11.0,700.0,700.0,1500.0,1500.0
1550.0,2017.0,12.0,700.0,1500.0,1500.0,1500.0
1550.0,2018.0,1.0,1500.0,1500.0,1500.0,800.0
1550.0,2018.0,2.0,1500.0,1500.0,800.0,800.0
1550.0,2018.0,7.0,1502.0,1502.0,1502.0,1502.0
1550.0,2018.0,12.0,1200.0,1200.0,362.0,286.0
1550.0,2019.0,1.0,1200.0,362.0,286.0,234.0
1550.0,2019.0,2.0,362.0,286.0,234.0,284.0
1550.0,2019.0,3.0,286.0,234.0,284.0,234.0
1550.0,2019.0,4.0,234.0,284.0,234.0,234.0
1630.0,2017.0,10.0,1000.0,1000.0,1000.0,1000.0
1630.0,2017.0,11.0,1000.0,1000.0,1000.0,1000.0
1630.0,2017.0,12.0,1000.0,1000.0,1000.0,1000.0
1630.0,2019.0,2.0,168.0,168.0,100.0,100.0
1630.0,2019.0,3.0,168.0,100.0,100.0,100.0
1630.0,2019.0,4.0,100.0,100.0,100.0,100.0
1433.0,2016.0,12.0,706.0,792.0,792.0,792.0
1433.0,2017.0,1.0,792.0,792.0,792.0,792.0
1433.0,2017.0,2.0,792.0,792.0,792.0,792.0
1433.0,2017.0,3.0,792.0,792.0,792.0,86.0
1433.0,2017.0,11.0,300.0,300.0,300.0,300.0
1433.0,2017.0,12.0,300.0,300.0,300.0,300.0
1433.0,2018.0,1.0,300.0,300.0,300.0,300.0
1433.0,2018.0,2.0,300.0,300.0,300.0,300.0
1433.0,2018.0,3.0,300.0,300.0,300.0,300.0
1433.0,2018.0,4.0,300.0,300.0,300.0,300.0
1433.0,2018.0,5.0,300.0,300.0,300.0,300.0
1433.0,2018.0,6.0,300.0,300.0,300.0,300.0
1433.0,2018.0,7.0,300.0,300.0,300.0,300.0
1433.0,2019.0,2.0,800.0,300.0,500.0,200.0
1433.0,2019.0,3.0,300.0,500.0,200.0,200.0
1433.0,2019.0,4.0,500.0,200.0,200.0,200.0
49.0,2015.0,5.0,1200.0,1200.0,1302.0,1302.0
49.0,2015.0,6.0,1200.0,1302.0,1302.0,1202.0
49.0,2015.0,7.0,1302.0,1302.0,1202.0,602.0
49.0,2015.0,8.0,1302.0,1202.0,602.0,102.0
49.0,2015.0,9.0,1202.0,602.0,102.0,902.0
49.0,2015.0,10.0,602.0,102.0,902.0,800.0
49.0,2015.0,11.0,102.0,902.0,800.0,800.0
49.0,2015.0,12.0,902.0,800.0,800.0,800.0
49.0,2016.0,1.0,800.0,800.0,800.0,800.0
49.0,2016.0,2.0,800.0,800.0,800.0,1000.0
49.0,2016.0,3.0,800.0,800.0,1000.0,400.0
49.0,2016.0,4.0,800.0,1000.0,400.0,602.0
49.0,2016.0,5.0,1000.0,400.0,602.0,662.0
49.0,2016.0,6.0,400.0,602.0,662.0,662.0
49.0,2016.0,7.0,602.0,662.0,662.0,1150.0
49.0,2016.0,8.0,662.0,662.0,1150.0,950.0
49.0,2016.0,9.0,662.0,1150.0,950.0,750.0
49.0,2016.0,10.0,1150.0,950.0,750.0,548.0
49.0,2016.0,11.0,950.0,750.0,548.0,488.0
49.0,2016.0,12.0,750.0,548.0,488.0,488.0
49.0,2017.0,6.0,700.0,700.0,700.0,700.0
49.0,2017.0,7.0,700.0,700.0,700.0,900.0
49.0,2017.0,8.0,700.0,700.0,900.0,900.0
49.0,2017.0,9.0,700.0,900.0,900.0,200.0
49.0,2017.0,10.0,900.0,900.0,200.0,956.0
49.0,2017.0,11.0,900.0,200.0,956.0,1456.0
49.0,2017.0,12.0,200.0,956.0,1456.0,1806.0
49.0,2018.0,1.0,956.0,1456.0,1806.0,1606.0
49.0,2018.0,2.0,1456.0,1806.0,1606.0,1606.0
49.0,2018.0,3.0,1806.0,1606.0,1606.0,1606.0
2086.0,2017.0,12.0,500.0,500.0,500.0,500.0
2086.0,2018.0,1.0,500.0,500.0,500.0,500.0
2086.0,2018.0,2.0,500.0,500.0,500.0,500.0
2086.0,2018.0,3.0,500.0,500.0,500.0,502.0
193.0,2015.0,11.0,806.0,806.0,806.0,806.0
193.0,2015.0,12.0,806.0,806.0,806.0,806.0
193.0,2016.0,1.0,806.0,806.0,806.0,806.0
193.0,2016.0,8.0,850.0,850.0,850.0,850.0
193.0,2016.0,9.0,850.0,850.0,850.0,1650.0
193.0,2016.0,10.0,850.0,850.0,1650.0,1650.0
193.0,2016.0,11.0,850.0,1650.0,1650.0,800.0
193.0,2016.0,12.0,1650.0,1650.0,800.0,800.0
193.0,2017.0,1.0,1650.0,800.0,800.0,800.0
193.0,2017.0,2.0,800.0,800.0,800.0,1740.0
193.0,2017.0,3.0,800.0,800.0,1740.0,940.0
193.0,2017.0,4.0,800.0,1740.0,940.0,940.0
193.0,2017.0,5.0,1740.0,940.0,940.0,940.0
193.0,2017.0,6.0,940.0,940.0,940.0,940.0
193.0,2017.0,7.0,940.0,940.0,940.0,1440.0
193.0,2017.0,8.0,940.0,940.0,1440.0,500.0
193.0,2017.0,9.0,940.0,1440.0,500.0,500.0
193.0,2017.0,10.0,1440.0,500.0,500.0,1300.0
193.0,2017.0,11.0,500.0,500.0,1300.0,1300.0
193.0,2017.0,12.0,500.0,1300.0,1300.0,1300.0
193.0,2018.0,1.0,1300.0,1300.0,1300.0,800.0
193.0,2018.0,2.0,1300.0,1300.0,800.0,800.0
780.0,2015.0,7.0,1216.0,1416.0,1060.0,1010.0
780.0,2015.0,8.0,1416.0,1060.0,1010.0,710.0
780.0,2015.0,9.0,1060.0,1010.0,710.0,510.0
780.0,2015.0,10.0,1010.0,710.0,510.0,730.0
780.0,2015.0,11.0,710.0,510.0,730.0,800.0
780.0,2015.0,12.0,510.0,730.0,800.0,700.0
780.0,2016.0,1.0,730.0,800.0,700.0,750.0
780.0,2016.0,2.0,800.0,700.0,750.0,952.0
780.0,2016.0,3.0,700.0,750.0,952.0,852.0
780.0,2016.0,4.0,750.0,952.0,852.0,630.0
780.0,2016.0,5.0,952.0,852.0,630.0,420.0
780.0,2016.0,6.0,852.0,630.0,420.0,520.0
780.0,2016.0,7.0,630.0,420.0,520.0,370.0
780.0,2016.0,8.0,420.0,520.0,370.0,210.0
780.0,2016.0,9.0,520.0,370.0,210.0,210.0
780.0,2016.0,10.0,370.0,210.0,210.0,210.0
780.0,2016.0,11.0,210.0,210.0,210.0,150.0
780.0,2016.0,12.0,210.0,210.0,150.0,50.0
