category,Year,Month,n-3,n-2,n-1,y
485.0,2015.0,6.0,11604.0,7304.0,7304.0,5074.0
485.0,2015.0,7.0,7304.0,7304.0,5074.0,1812.0
485.0,2015.0,8.0,7304.0,5074.0,1812.0,9144.0
485.0,2015.0,9.0,5074.0,1812.0,9144.0,9664.0
485.0,2015.0,10.0,1812.0,9144.0,9664.0,9802.0
485.0,2015.0,11.0,9144.0,9664.0,9802.0,9942.0
485.0,2015.0,12.0,9664.0,9802.0,9942.0,10566.0
485.0,2016.0,1.0,9802.0,9942.0,10566.0,9824.0
485.0,2016.0,2.0,9942.0,10566.0,9824.0,6012.0
485.0,2016.0,3.0,10566.0,9824.0,6012.0,5992.0
485.0,2016.0,4.0,9824.0,6012.0,5992.0,5754.0
485.0,2016.0,5.0,6012.0,5992.0,5754.0,5614.0
485.0,2016.0,6.0,5992.0,5754.0,5614.0,6176.0
485.0,2016.0,7.0,5754.0,5614.0,6176.0,5776.0
485.0,2016.0,8.0,5614.0,6176.0,5776.0,2786.0
485.0,2016.0,9.0,6176.0,5776.0,2786.0,3994.0
485.0,2016.0,10.0,5776.0,2786.0,3994.0,5700.0
485.0,2016.0,11.0,2786.0,3994.0,5700.0,7106.0
485.0,2016.0,12.0,3994.0,5700.0,7106.0,6252.0
485.0,2017.0,1.0,5700.0,7106.0,6252.0,6302.0
485.0,2017.0,2.0,7106.0,6252.0,6302.0,8990.0
485.0,2017.0,3.0,6252.0,6302.0,8990.0,7862.0
485.0,2017.0,4.0,6302.0,8990.0,7862.0,6306.0
485.0,2017.0,5.0,8990.0,7862.0,6306.0,6596.0
485.0,2017.0,6.0,7862.0,6306.0,6596.0,6694.0
485.0,2017.0,7.0,6306.0,6596.0,6694.0,9146.0
485.0,2017.0,8.0,6596.0,6694.0,9146.0,6428.0
485.0,2017.0,9.0,6694.0,9146.0,6428.0,9280.0
485.0,2017.0,10.0,9146.0,6428.0,9280.0,9748.0
485.0,2017.0,11.0,6428.0,9280.0,9748.0,8344.0
485.0,2017.0,12.0,9280.0,9748.0,8344.0,9522.0
485.0,2018.0,1.0,9748.0,8344.0,9522.0,7500.0
485.0,2018.0,2.0,8344.0,9522.0,7500.0,7300.0
485.0,2018.0,3.0,9522.0,7500.0,7300.0,5048.0
485.0,2018.0,4.0,7500.0,7300.0,5048.0,5700.0
485.0,2018.0,5.0,7300.0,5048.0,5700.0,7632.0
485.0,2018.0,6.0,5048.0,5700.0,7632.0,6854.0
485.0,2018.0,7.0,5700.0,7632.0,6854.0,8652.0
485.0,2018.0,8.0,7632.0,6854.0,8652.0,11602.0
485.0,2018.0,9.0,6854.0,8652.0,11602.0,12124.0
485.0,2018.0,10.0,8652.0,11602.0,12124.0,12374.0
485.0,2018.0,11.0,11602.0,12124.0,12374.0,2950.0
485.0,2018.0,12.0,12124.0,12374.0,2950.0,3380.0
485.0,2019.0,1.0,12374.0,2950.0,3380.0,2480.0
485.0,2019.0,2.0,2950.0,3380.0,2480.0,3472.0
485.0,2019.0,3.0,3380.0,2480.0,3472.0,3852.0
485.0,2019.0,4.0,2480.0,3472.0,3852.0,6082.0
14.0,2015.0,4.0,90.0,1678.0,1488.0,1372.0
14.0,2015.0,5.0,1678.0,1488.0,1372.0,1280.0
14.0,2015.0,6.0,1488.0,1372.0,1280.0,1280.0
14.0,2015.0,7.0,1372.0,1280.0,1280.0,426.0
14.0,2015.0,8.0,1280.0,1280.0,426.0,420.0
14.0,2015.0,9.0,1280.0,426.0,420.0,554.0
14.0,2015.0,10.0,426.0,420.0,554.0,554.0
14.0,2015.0,11.0,420.0,554.0,554.0,556.0
14.0,2015.0,12.0,554.0,554.0,556.0,676.0
14.0,2016.0,1.0,554.0,556.0,676.0,356.0
14.0,2016.0,2.0,556.0,676.0,356.0,356.0
14.0,2016.0,3.0,676.0,356.0,356.0,122.0
14.0,2016.0,4.0,356.0,356.0,122.0,294.0
14.0,2016.0,5.0,356.0,122.0,294.0,354.0
14.0,2016.0,6.0,122.0,294.0,354.0,858.0
14.0,2016.0,7.0,294.0,354.0,858.0,858.0
14.0,2016.0,8.0,354.0,858.0,858.0,866.0
14.0,2016.0,9.0,858.0,858.0,866.0,1196.0
14.0,2016.0,10.0,858.0,866.0,1196.0,1212.0
14.0,2016.0,11.0,866.0,1196.0,1212.0,1284.0
14.0,2016.0,12.0,1196.0,1212.0,1284.0,1010.0
14.0,2017.0,1.0,1212.0,1284.0,1010.0,1370.0
14.0,2017.0,2.0,1284.0,1010.0,1370.0,1862.0
14.0,2017.0,3.0,1010.0,1370.0,1862.0,2182.0
14.0,2017.0,4.0,1370.0,1862.0,2182.0,2082.0
14.0,2017.0,5.0,1862.0,2182.0,2082.0,2152.0
14.0,2017.0,6.0,2182.0,2082.0,2152.0,2650.0
14.0,2017.0,7.0,2082.0,2152.0,2650.0,2438.0
14.0,2017.0,8.0,2152.0,2650.0,2438.0,1988.0
14.0,2017.0,9.0,2650.0,2438.0,1988.0,1740.0
14.0,2017.0,10.0,2438.0,1988.0,1740.0,1706.0
14.0,2017.0,11.0,1988.0,1740.0,1706.0,1746.0
14.0,2017.0,12.0,1740.0,1706.0,1746.0,1024.0
14.0,2018.0,1.0,1706.0,1746.0,1024.0,1272.0
14.0,2018.0,2.0,1746.0,1024.0,1272.0,1356.0
14.0,2018.0,3.0,1024.0,1272.0,1356.0,954.0
14.0,2018.0,4.0,1272.0,1356.0,954.0,1056.0
14.0,2018.0,5.0,1356.0,954.0,1056.0,812.0
14.0,2018.0,6.0,954.0,1056.0,812.0,686.0
14.0,2018.0,7.0,1056.0,812.0,686.0,450.0
14.0,2018.0,8.0,812.0,686.0,450.0,808.0
14.0,2018.0,9.0,686.0,450.0,808.0,1008.0
14.0,2018.0,10.0,450.0,808.0,1008.0,854.0
14.0,2018.0,11.0,808.0,1008.0,854.0,160.0
14.0,2018.0,12.0,1008.0,854.0,160.0,250.0
14.0,2019.0,1.0,854.0,160.0,250.0,250.0
14.0,2019.0,2.0,160.0,250.0,250.0,116.0
14.0,2019.0,3.0,250.0,250.0,116.0,116.0
14.0,2019.0,4.0,250.0,116.0,116.0,90.0
1001.0,2015.0,12.0,50.0,50.0,50.0,50.0
1001.0,2016.0,1.0,50.0,50.0,50.0,50.0
1001.0,2016.0,2.0,50.0,50.0,50.0,50.0
1001.0,2017.0,8.0,50.0,50.0,50.0,50.0
1001.0,2017.0,9.0,50.0,50.0,50.0,50.0
1001.0,2017.0,10.0,50.0,50.0,50.0,50.0
1001.0,2018.0,7.0,10.0,16.0,16.0,28.0
1001.0,2018.0,8.0,16.0,16.0,28.0,28.0
1001.0,2018.0,9.0,16.0,28.0,28.0,28.0
